,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
0,0.3299,915,161689.08,161689.0758077106,132347.25,132347.2472994366,1,14.73,14.733,2011-10-17,576.06,576.05765237,317.45,317.4473,581115.09,581115.0927,0.1356,54,784.24,784.235401864,784.24,784.235401864,2,13.9,13.898,2011-10-17,1.3,1.30026787,0.94,0.9442,1820.23,1820.2337,0.3285,969,162473.31,162473.3112095746,133131.48,133131.4827013006,12,14.73,14.729,2011-10-17,577.36,577.35792024,318.39,318.3915,582935.33,582935.3264,2011-10-17
1,,,,,,,1,,,2000-07-23,,,,,,,,,,,,,2,,,2000-07-23,,,,,,,,,,,,,12,,,2000-07-23,,,,,,,2000-07-23
2,0.8715,960,167910.03,167910.0294545067,150639.04,150639.0405429928,1,11.03,11.028,2014-09-03,1876,1875.99912947,814.89,814.8922,2121924.95,2121924.9472,0.3839,53,778.82,778.8183497166,778.82,778.8183497166,2,13.89,13.888,2014-09-03,2.44,2.43860926,3.14,3.1384,5706.53,5706.5284,0.8685,1013,168688.85,168688.8478042233,151417.86,151417.8588927094,12,11.04,11.038,2014-09-03,1883.42,1883.42007377,818.05,818.0528,2140973.51,2140973.5073,2014-09-03
3,0.4318,1383,326753.15,326753.1544201789,277782.35,277782.3518368407,1,17.97,17.966,2017-12-08,1659.69,1659.69246695,847.74,847.7385,1331967.96,1331967.9621,0.1152,51,982.27,982.2678098982,982.27,982.2678098982,2,22.06,22.061,2017-12-08,1.27,1.26674423,1.13,1.1256,1800.11,1800.1071,0.4302,1434,327735.42,327735.4222300771,278764.62,278764.6196467389,12,17.98,17.976,2017-12-08,1667.19,1667.19230066,848.94,848.9435,1346451.25,1346451.2542,2017-12-08
4,,,,,,,1,,,2015-01-17,,,,,,,,,,,,,2,,,2015-01-17,,,,,,,,,,,,,12,,,2015-01-17,,,,,,,2015-01-17
5,1.9802,847,244048.41,244048.4067520204,55922.58,55922.5822672785,1,54.03,54.029,2007-12-17,1008.68,1008.67561775,673.67,673.6744,630142.71,630142.7101,0.4615,54,1283.26,1283.261309881,1283.26,1283.261309881,2,56.69,56.69,2007-12-17,6.56,6.55898743,4.23,4.2311,5324.52,5324.5151,1.9271,901,245331.67,245331.6680619014,57205.84,57205.8435771595,12,54.04,54.042,2007-12-17,1015.23,1015.23460518,677.91,677.9055,635467.23,635467.2252,2007-12-17
6,,,,,,,1,,,2010-05-02,,,,,,,,,,,,,2,,,2010-05-02,,,,,,,,,,,,,12,,,2010-05-02,,,,,,,2010-05-02
7,0.4327,943,146569.67,146569.6725191941,130883.24,130883.2355648762,1,10.71,10.71,2013-08-15,846.68,846.67896227,443.23,443.2283,991999.01,991999.0064,0.2633,54,781.56,781.5622596733,781.56,781.5622596733,2,11.55,11.552,2013-08-15,1.94,1.94056466,1.84,1.8433,4043.35,4043.353,0.4316,997,147351.23,147351.2347788674,131664.8,131664.7978245495,12,10.71,10.713,2013-08-15,850.79,850.79423516,445.08,445.0762,1005730.15,1005730.1538,2013-08-15
8,,,,,,,1,,,2000-11-11,,,,,,,,,,,,,2,,,2000-11-11,,,,,,,,,,,,,12,,,2000-11-11,,,,,,,2000-11-11
9,,,,,,,1,,,2018-02-24,,,,,,,,,,,,,2,,,2018-02-24,,,,,,,,,,,,,12,,,2018-02-24,,,,,,,2018-02-24
10,0.6766,1096,243328.09,243328.0932226189,210491.84,210491.8447187291,1,14.06,14.056,2016-06-24,2150.94,2150.94096412,1067.82,1067.8243,1906476.19,1906476.1905,0.3612,52,1011.73,1011.7338704669,1011.73,1011.7338704669,2,27.74,27.739,2016-06-24,4.49,4.48556494,3,2.9989,5570.01,5570.0099,0.6749,1148,244339.83,244339.8270930858,211503.58,211503.578589196,12,14.09,14.085,2016-06-24,2165.83,2165.8258105,1070.87,1070.8749,1934887.25,1934887.2498,2016-06-24
11,2.1596,1021,326816.44,326816.4362062072,292459.49,292459.4922972248,1,21.29,21.285,2015-04-16,7114.16,7114.15682314,2419.95,2419.9474,5502921.96,5502921.9611,1.5194,53,1195.03,1195.0256703048,1195.03,1195.0256703048,2,21.51,21.506,2015-04-16,18.02,18.02180686,10.99,10.991,22948.3,22948.3028,2.1559,1074,328011.46,328011.461876512,293654.52,293654.5179675296,12,21.29,21.286,2015-04-16,7139.57,7139.57187847,2431.34,2431.3369,5536459.62,5536459.6233,2015-04-16
12,-,298,,,,,1,,,1997-04-14,153.81,153.81341086,161.27,161.273,134355.3,134355.3022,-,41,,,,,2,,,1997-04-14,0.73,0.73186133,0.17,0.1737,1416.84,1416.8414,-,339,,,,,12,,,1997-04-14,154.55,154.54527219,161.45,161.4467,135772.14,135772.1436,1997-04-14
13,,,,,,,1,,,2007-01-01,,,,,,,,,,,,,2,,,2007-01-01,,,,,,,,,,,,,12,,,2007-01-01,,,,,,,2007-01-01
14,-,194,0,0,0,0,1,,,1996-04-02,3.38,3.37808683,8.03,8.0306,6194.62,6194.6246,-,28,0,0,0,0,2,,,1996-04-02,0.21,0.20997278,0.03,0.0316,566.06,566.0563,-,222,0,0,0,0,12,,,1996-04-02,3.59,3.58805961,8.06,8.0622,6760.68,6760.6809,1996-04-02
15,,,,,,,1,,,2013-09-08,,,,,,,,,,,,,2,,,2013-09-08,,,,,,,,,,,,,12,,,2013-09-08,,,,,,,2013-09-08
16,,,,,,,1,,,2017-10-28,,,,,,,,,,,,,2,,,2017-10-28,,,,,,,,,,,,,12,,,2017-10-28,,,,,,,2017-10-28
17,0.629,827,25876.45,25876.4541748592,7113.52,7113.5212798383,1,24.46,24.459,2004-12-20,45.69,45.68899742,50.6,50.6005,79627.27,79627.2735,0.0958,54,312.96,312.9629732295,312.96,312.9629732295,2,20.96,20.964,2004-12-20,0.36,0.35778896,0.49,0.4871,959.8,959.7975,0.5899,881,26189.42,26189.4171480887,7426.48,7426.4842530678,12,24.41,24.414,2004-12-20,46.05,46.04678638,51.09,51.0876,80587.07,80587.071,2004-12-20
18,1.8937,644,26957.67,26957.6703847438,7749.15,7749.1516566477,1,37.6,37.597,2002-03-13,149.06,149.05988814,148.01,148.0091,143653.14,143653.1388,0.7025,54,574.01,574.0067130242,574.01,574.0067130242,2,38.02,38.018,2002-03-13,3.86,3.85998929,2.89,2.8945,6369.9,6369.8964,1.7665,698,27531.68,27531.677097768,8323.16,8323.1583696719,12,37.6,37.605,2002-03-13,152.92,152.91987743,150.9,150.9036,150023.04,150023.0352,2002-03-13
19,,,,,,,1,,,2007-03-25,,,,,,,,,,,,,2,,,2007-03-25,,,,,,,,,,,,,12,,,2007-03-25,,,,,,,2007-03-25
20,1.7845,823,36489.7,36489.7029963022,10283.34,10283.3430731499,1,20.96,20.958,2006-07-17,197.23,197.22880373,159.06,159.0642,319022.29,319022.2874,0.2808,54,355.08,355.083836394,355.08,355.083836394,2,17.1,17.098,2006-07-17,0.98,0.98273174,1.14,1.1449,3017.05,3017.0503,1.6992,877,36844.79,36844.7868326962,10638.43,10638.4269095439,12,20.92,20.915,2006-07-17,198.21,198.21153547,160.21,160.2091,322039.34,322039.3377,2006-07-17
21,0.6632,679,29168.87,29168.8733315953,8293.4,8293.3971601591,1,42.46,42.458,2002-08-16,52.85,52.84575863,58.75,58.7504,55784.82,55784.8246,0.1494,54,587.4,587.3953726392,587.4,587.3953726392,2,40.39,40.392,2002-08-16,0.82,0.82318737,0.62,0.6155,1378.21,1378.2052,0.6124,733,29756.27,29756.2687042345,8880.79,8880.7925327983,12,42.42,42.418,2002-08-16,53.67,53.668946,59.37,59.3659,57163.03,57163.0298,2002-08-16
22,,,,,,,1,,,2012-01-15,,,,,,,,,,,,,2,,,2012-01-15,,,,,,,,,,,,,12,,,2012-01-15,,,,,,,2012-01-15
23,0.3138,912,164649.89,164649.891295359,135068.46,135068.461975299,1,15.02,15.019,2011-09-08,599.63,599.63300322,351.65,351.6533,551161.3,551161.2987,0.1425,54,818.57,818.5727957662,818.57,818.5727957662,2,14.5,14.497,2011-09-08,1.14,1.14085453,1.07,1.0717,1913.52,1913.5152,0.3125,966,165468.46,165468.4640911252,135887.03,135887.0347710652,12,15.02,15.017,2011-09-08,600.77,600.77385775,352.73,352.725,553074.81,553074.8139,2011-09-08
24,2.0892,512,23247.66,23247.6599453457,6976.43,6976.4338939553,1,58.13,58.129,2000-08-31,137.02,137.02138149,150.79,150.7881,101963.14,101963.1408,1.2138,55,247.3,247.297577616,247.3,247.297577616,2,18.65,18.653,2000-08-31,2.96,2.96108787,0.98,0.9843,10326.34,10326.3389,1.9593,567,23494.96,23494.9575229617,7223.73,7223.7314715713,12,56.91,56.908,2000-08-31,139.98,139.98246936,151.77,151.7724,112289.48,112289.4797,2000-08-31
25,-,173,0,0,0,0,1,,,1995-03-21,3.92,3.92450995,6.96,6.958,5598.86,5598.8589,-,31,0,0,0,0,2,,,1995-03-21,0.14,0.14211159,0.03,0.0285,432.17,432.165,-,204,0,0,0,0,12,,,1995-03-21,4.07,4.06662154,6.99,6.9865,6031.02,6031.0239,1995-03-21
26,,,,,,,1,,,2002-12-14,,,,,,,,,,,,,2,,,2002-12-14,,,,,,,,,,,,,12,,,2002-12-14,,,,,,,2002-12-14
27,0.6054,874,160409.24,160409.2420052642,104229.25,104229.2519467201,1,19.59,19.592,2010-08-26,812.56,812.55988318,488.79,488.7911,793243.62,793243.6223,0.7822,54,861.95,861.949715267,861.95,861.949715267,2,19.89,19.892,2010-08-26,5.74,5.74098037,4.54,4.5424,10155.26,10155.2605,0.6072,928,161271.19,161271.1917205312,105091.2,105091.2016619871,12,19.59,19.594,2010-08-26,818.3,818.30086355,493.33,493.3335,803398.88,803398.8828,2010-08-26
28,0.4999,922,152505.2,152505.2021894984,126513.78,126513.7760357314,1,13.84,13.843,2012-01-18,806.97,806.96670384,445.05,445.0519,898167.94,898167.9398,0.2158,54,702.05,702.0498194904,702.05,702.0498194904,2,12.63,12.634,2012-01-18,1.58,1.57555412,1.58,1.576,2898.09,2898.0852,0.4977,976,153207.25,153207.2520089888,127215.83,127215.8258552218,12,13.84,13.837,2012-01-18,808.54,808.54225796,446.63,446.6279,901066.03,901066.025,2012-01-18
29,1.3622,846,241413.06,241413.0623962445,53276.94,53276.9384296247,1,53.79,53.786,2007-11-30,691.31,691.3124809,440.76,440.7632,424798.66,424798.6624,0.7235,54,1264.76,1264.7592117049,1264.76,1264.7592117049,2,55.83,55.827,2007-11-30,13.69,13.69145651,5.64,5.6358,8347.96,8347.9644,1.3394,900,242677.82,242677.8216079494,54541.7,54541.6976413296,12,53.8,53.796,2007-11-30,705,705.00393741,446.4,446.399,433146.63,433146.6268,2007-11-30
