date,上市公司数,上市证券数,中小板指,创业板指,市场总成交金额（元）,平均股票价格（元）,深证成指,深证综指,股票平均市盈率,股票平均换手率,股票总市值（元）,股票总股本（股）,股票成交金额（元）,股票流通市值（元）,股票流通股本（股）
2004-12-31,536.0,673.0,,,3477003784.05,5.51,3067.57,315.81,24.63,0.68,1104122720415.0,200446786312.0,3046329458.33,433776258190.43,82280967197.0
2005-01-04,536.0,673.0,,,2689858955.5,5.42,3025.42,310.62,24.22,0.53,1085954776425.0,200446786312.0,2474440224.03,427914124141.41,82280963797.0
2005-01-05,536.0,673.0,,,3145475539.04,5.5,3052.86,315.25,24.57,0.67,1102138985925.0,200446787725.0,3050378904.14,434724115724.88,82281006085.0
2005-01-06,536.0,673.0,,,2682517204.78,5.44,3028.73,311.98,24.31,0.54,1090702258362.0,200446899479.0,2574054932.01,430850807371.8,82281110839.0
2005-01-07,536.0,673.0,,,3374850410.06,5.45,3035.59,312.61,24.34,0.66,1092902349338.0,200446902415.0,3232196642.06,432061058808.34,82281113775.0
2005-01-10,536.0,673.0,,,2903755079.13,5.51,3062.73,315.85,24.59,0.59,1104230243745.0,200446902866.0,2734441802.23,436102290013.94,82281114226.0
2005-01-11,536.0,673.0,,,2727335320.74,5.52,3069.57,316.42,24.63,0.59,1106221372524.0,200446902866.0,2617853938.57,436893270690.11,82281186695.0
2005-01-12,536.0,673.0,,,2792667693.63,5.52,3064.34,316.35,24.62,0.63,1105982351007.0,200446902866.0,2719886162.98,436801527939.62,82281210270.0
2005-01-13,536.0,673.0,,,3569810845.76,5.53,3074.37,317.0,24.68,0.72,1108263958324.0,200446902866.0,3458440213.61,437932779228.54,82281210270.0
2005-01-14,536.0,673.0,,,3135923120.95,5.47,3055.52,313.4,24.41,0.67,1095670759337.0,200446902866.0,3049189937.57,432951800200.65,82281203921.0
2005-01-17,536.0,673.0,,,3593864032.78,5.34,2999.02,306.44,23.86,0.82,1071256127227.0,200446907812.0,3462404180.67,423725483405.0,82281217867.0
2005-01-18,536.0,673.0,,,3425545580.66,5.4,3022.41,309.81,24.12,0.76,1083036267770.0,200446912525.0,3278964477.83,428424296954.61,82281167540.0
2005-01-19,536.0,673.0,,,3095441067.7,5.37,3001.25,307.78,23.89,0.71,1075942140033.0,200446915705.0,2985325929.07,425609634347.36,82281170820.0
2005-01-20,536.0,673.0,,,3706855380.86,5.3,2969.12,303.68,23.57,0.8,1061628628834.0,200446915705.0,3561698812.6,420138178633.64,82281170820.0
2005-01-21,536.0,673.0,,,5311549464.89,5.41,3055.81,309.98,24.07,1.15,1083629148276.0,200446917363.0,5102237675.78,428881320760.19,82281200828.0
2005-01-24,536.0,673.0,,,6027237720.69,5.51,3111.4,315.98,24.54,1.27,1104588717367.0,200446917363.0,5760566746.2,437121983931.64,82281215118.0
2005-01-25,536.0,673.0,,,4852090540.3,5.51,3141.86,315.69,24.43,0.97,1103603043366.0,200446920065.0,4745914876.41,436328009319.45,82281290020.0
2005-01-26,536.0,673.0,,,3675999170.77,5.46,3122.62,313.19,24.27,0.78,1094975176097.0,200474634337.0,3577481114.09,432869343420.62,82309004292.0
2005-01-27,536.0,673.0,,,3364451861.38,5.37,3070.58,308.01,23.87,0.72,1076873859768.0,200474634987.0,3269907479.77,426194435017.43,82309008142.0
2005-01-28,536.0,673.0,,,2999229825.66,5.3,3065.61,304.01,23.56,0.7,1062870394652.0,200474636400.0,2937103427.13,420685699725.33,82308970155.0
2005-01-31,536.0,673.0,,,3054979971.27,5.18,3045.48,297.05,23.04,0.72,1038532818954.0,200474636790.0,2952505046.9,410977740566.66,82308970545.0
2005-02-01,536.0,673.0,,,3294428735.01,5.16,3066.23,295.69,22.79,0.78,1033797816673.0,200476569225.0,3180822234.15,409237049013.53,82310936946.0
2005-02-02,536.0,673.0,,,6479229326.47,5.43,3221.21,311.44,23.99,1.39,1088854717465.0,200476570021.0,6261243088.5,430729697751.56,82310937878.0
2005-02-03,536.0,673.0,,,6305350291.71,5.34,3196.55,306.42,23.46,1.37,1071309965605.0,200476627157.0,6135423994.05,424220644440.44,82310989614.0
2005-02-04,536.0,673.0,,,5313410540.28,5.44,3266.01,312.01,23.53,1.13,1090871292683.0,200477448912.0,5091606001.21,432049895523.69,82311811869.0
2005-02-16,536.0,673.0,,,4659382903.08,5.49,3283.88,314.98,23.73,1.01,1101263634200.0,200479088813.0,4511460449.26,436003112066.12,82313416470.0
2005-02-17,536.0,673.0,,,3875161610.75,5.5,3264.34,315.22,23.74,0.86,1102085148907.0,200479212788.0,3755161013.28,436332505952.43,82313552325.0
2005-02-18,536.0,673.0,,,3366678283.67,5.43,3233.57,311.64,23.47,0.76,1089588616244.0,200482553940.0,3186076731.52,431506006559.58,82316877977.0
2005-02-21,536.0,673.0,,,4134517810.49,5.53,3298.47,317.11,23.7,0.9,1108740366101.0,200482638654.0,4003649788.22,439008072394.6,82316962191.0
2005-02-22,536.0,674.0,,,8290896419.65,5.67,3382.98,325.39,24.12,1.81,1137674659573.0,200482666468.0,8021736196.16,450553144155.46,82317029229.0
2005-02-23,536.0,675.0,,,8525767343.87,5.71,3383.06,327.39,24.13,1.84,1144671418800.0,200483194569.0,8307370414.79,453109731945.22,82317557330.0
2005-02-24,536.0,675.0,,,6915947347.18,5.72,3379.49,328.11,24.13,1.46,1147196945293.0,200486526630.0,6625230830.89,453838463047.92,82320889391.0
2005-02-25,536.0,675.0,,,8399637796.7,5.73,3385.44,328.49,24.14,1.74,1148561483293.0,200487810025.0,8124931871.92,454195131006.97,82322186971.0
2005-02-28,536.0,675.0,,,6601566669.18,5.72,3376.32,328.13,24.06,1.38,1147327163532.0,200489703470.0,6298599757.49,453482193015.73,82324128060.0
2005-03-01,536.0,675.0,,,5926650963.22,5.71,3348.45,327.42,23.58,1.34,1144851949317.0,200492572741.0,5804113005.39,452522264798.85,82326991843.0
2005-03-02,536.0,675.0,,,6576643706.4,5.63,3301.76,322.59,23.22,1.4,1127999062459.0,200495768469.0,6399452496.48,446079793901.63,82330197571.0
2005-03-03,537.0,676.0,,,4790256274.23,5.67,3334.46,324.72,23.32,1.02,1136744768322.0,200637379761.0,4661824714.34,453958373833.78,82571632420.0
2005-03-04,537.0,676.0,,,4641376928.55,5.64,3332.15,323.5,22.39,0.95,1132502493064.0,200638561124.0,4487978256.15,452192896304.74,82572813783.0
2005-03-07,537.0,676.0,,,4551826740.25,5.68,3368.67,325.43,22.54,0.91,1139286565172.0,200640409105.0,4378241417.1,455245947564.63,82574650764.0
2005-03-08,537.0,676.0,,,7420758247.68,5.8,3451.82,332.24,22.82,1.34,1163144779673.0,200643747655.0,7147471916.08,465096546815.1,82578082435.0
2005-03-09,537.0,676.0,,,7081353449.41,5.82,3464.66,333.28,22.88,1.36,1166827907886.0,200649852751.0,6850040335.68,466673089688.43,82584203531.0
2005-03-10,537.0,676.0,,,6293572855.36,5.67,3373.54,324.86,22.34,1.26,1137352026995.0,200650076817.0,6076397567.98,454631211268.15,82584427597.0
2005-03-11,537.0,676.0,,,5916673893.52,5.7,3408.84,326.84,22.44,1.08,1144301380086.0,200652629210.0,5660442107.94,457995375124.55,82586979990.0
2005-03-14,537.0,675.0,,,7443773467.43,5.7,3420.55,326.65,22.44,1.33,1143658780629.0,200655220878.0,7152009780.85,457471017560.88,82589561658.0
2005-03-15,537.0,675.0,,,6144941439.69,5.62,3366.68,322.03,21.93,1.18,1127531768897.0,200658197835.0,5962992881.81,451144892619.28,82592577195.0
2005-03-16,537.0,675.0,,,5181987684.69,5.57,3341.12,319.01,21.71,1.01,1116993975837.0,200660172571.0,5033276680.51,447021291709.9,82594547931.0
2005-03-17,537.0,675.0,,,5100698501.38,5.5,3296.17,315.35,21.34,1.02,1104163140182.0,200660638705.0,4906364704.5,441820030521.47,82595026215.0
2005-03-18,537.0,675.0,,,4915546843.14,5.39,3255.28,309.09,20.19,1.0,1082274205891.0,200661109966.0,4733408873.98,433628172096.63,82595497476.0
2005-03-21,537.0,676.0,,,3571965733.41,5.39,3276.52,309.85,20.07,0.72,1084862825560.0,201341197777.0,3479862566.67,434930123619.68,83016906471.0
2005-03-22,537.0,676.0,,,5416540598.08,5.27,3249.5,303.12,19.32,1.11,1061311188361.0,201341313222.0,5214777731.74,425789257585.13,83017021916.0
2005-03-23,537.0,676.0,,,5570960642.4,5.26,3220.07,302.29,19.24,1.06,1058384006137.0,201342060538.0,5284546601.29,423864961031.2,83017798040.0
2005-03-24,537.0,676.0,,,4754480089.42,5.3,3214.98,304.53,19.32,0.84,1066233796824.0,201342069788.0,4637993188.89,426732285718.99,83018629464.0
2005-03-25,538.0,677.0,,,3871976696.28,5.3,3214.85,304.36,19.31,0.76,1067648328524.0,201495818323.0,3643469705.61,426787772364.59,83049310531.0
2005-03-28,538.0,677.0,,,3566230079.39,5.27,3213.31,302.86,19.25,0.75,1062390673262.0,201495884768.0,3403287210.95,424834665818.94,83049416000.0
2005-03-29,538.0,677.0,,,3899511422.09,5.25,3208.44,301.68,19.21,0.76,1058249650879.0,201495889329.0,3648350731.81,422941205863.34,83049414561.0
2005-03-30,538.0,677.0,,,4564319642.98,5.12,3137.46,294.11,18.69,0.97,1031671193459.0,201495893169.0,4238618468.35,412242806635.34,83049430401.0
2005-03-31,538.0,677.0,,,3549626189.19,5.17,3170.35,296.75,18.79,0.79,1040959305609.0,201496860211.0,3348969637.52,416149292188.35,83050397443.0
2005-04-01,538.0,677.0,,,6793401101.31,5.35,3284.95,307.54,19.45,1.38,1078803010435.0,201497997727.0,6483270352.56,430894452930.16,83051521799.0
2005-04-04,538.0,677.0,,,5463566865.85,5.28,3244.25,303.47,19.12,1.12,1064584500586.0,201704746210.0,5188080896.54,425052323967.98,83166903705.0
2005-04-05,538.0,677.0,,,4443228769.97,5.26,3244.93,302.16,19.02,0.92,1060112415953.0,201716225222.0,4276271886.51,423556342332.23,83178414842.0
2005-04-06,538.0,677.0,,,7419382370.05,,3312.64,307.53,,,1078737323276.0,201716225222.0,7185806385.68,430890968642.52,83178414842.0
2005-04-07,538.0,677.0,,,9438839302.24,5.41,3343.77,311.27,19.61,1.92,1091768791993.0,201855395448.0,9151011520.97,436653557915.33,83233213030.0
2005-04-08,538.0,677.0,,,7113454204.97,5.5,3397.32,316.72,19.97,1.56,1110769063004.0,201864588172.0,6902266217.0,443997187159.24,83242405754.0
2005-04-11,538.0,677.0,,,8195877187.28,5.46,3357.03,314.51,19.7,1.62,1103061018748.0,201867615054.0,7886171712.21,441191025561.22,83245500936.0
2005-04-12,538.0,677.0,,,5640101190.77,5.37,3310.81,308.86,18.27,1.17,1083247125205.0,201870405201.0,5478110391.42,433441076478.01,83248316931.0
2005-04-13,538.0,677.0,,,7512229860.24,5.47,3371.49,315.61,18.7,1.53,1106850746956.0,202226616249.0,7224746474.9,442644451498.87,83353493225.0
2005-04-14,538.0,677.0,,,6537064094.54,5.39,3324.93,311.05,18.44,1.36,1090851259499.0,202227377516.0,6389212024.18,436083978023.01,83354251492.0
2005-04-15,538.0,677.0,,,5668226140.39,5.29,3304.31,304.92,18.01,1.21,1069385177901.0,202228391819.0,5494791815.18,428483063790.65,83355261295.0
2005-04-18,539.0,678.0,,,4553493767.2,5.23,3261.32,301.2,17.72,0.99,1058442809324.0,202319791374.0,4357743928.23,422826707301.11,83376255625.0
2005-04-19,539.0,678.0,,,4473574631.53,5.22,3267.54,300.69,17.96,0.95,1056624715165.0,202340613369.0,4318743091.03,422752809422.11,83387077620.0
2005-04-20,539.0,678.0,,,4519502805.92,5.13,3222.53,295.2,17.66,1.0,1037210744232.0,202347959455.0,4374312607.5,415845800636.04,83394424946.0
2005-04-21,539.0,678.0,,,5060736516.37,5.05,3207.56,291.28,17.44,1.09,1022827179116.0,202357860811.0,4865423473.08,410295039639.08,83404326302.0
2005-04-22,539.0,678.0,,,4978016974.33,4.98,3176.92,287.18,17.33,1.19,1008409759596.0,202431747329.0,4854115259.77,404616754858.7,83433733370.0
2005-04-25,539.0,678.0,,,5141425887.83,4.85,3160.62,282.36,17.1,1.15,984535262335.0,202898382728.0,5008764215.84,391780606025.16,83736356085.0
2005-04-26,539.0,678.0,,,5526018020.0,4.91,3180.19,285.91,17.29,1.24,996890636900.0,202898400308.0,5373005475.11,396853543324.91,83743801165.0
2005-04-27,540.0,679.0,,,4833594689.91,4.86,3163.01,282.22,17.05,1.07,991320055234.0,203863936696.0,4725010883.56,399287755439.16,84473450160.0
2005-04-28,540.0,679.0,,,6381252193.26,4.96,3204.73,287.85,17.49,1.48,1010765570223.0,203917393509.0,6221768307.82,406784628998.15,84487344716.0
