date,上市公司市价总值(元),上市公司数,上市公司流通市值(元),中小板指─最高,平均市盈率(倍),总发行股本(股),总成交笔数,总成交股数,总成交金额(元),总流通股本(股),收市,新上市公司数,最低
2004-06-02,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-03,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-04,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-07,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-08,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-09,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-10,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-11,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-14,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-15,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-16,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-17,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-18,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-21,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-22,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-23,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-24,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,
2004-06-25,17487193193.0,8.0,4932970000.0,,40.03,721409934.0,261159.0,145392354.0,3521056459.0,208000000.0,,,
2004-06-28,15760434770.0,8.0,4445310000.0,,36.08,721409934.0,30753.0,19484922.0,393266320.0,208000000.0,,,
2004-06-29,16433359590.0,10.0,4725180000.0,,31.14,858964836.0,83145.0,55866590.0,886377777.0,253000000.0,,,
2004-06-30,16212280443.0,10.0,4675430000.0,,30.68,861074335.0,86262.0,62094664.0,1142625429.0,253000000.0,,,
2004-07-01,16179526953.0,10.0,4666800000.0,,30.62,861074335.0,56428.0,39096299.0,714305724.0,253000000.0,,,
2004-07-02,15438393902.0,10.0,4449800000.0,,41.11,861074335.0,65548.0,41957177.0,730991848.0,253000000.0,,,
2004-07-05,18789492091.0,13.0,5571380000.0,,41.61,1090472477.0,105109.0,68134934.0,1056964178.0,331000000.0,,,
2004-07-06,18976717715.0,13.0,5633210000.0,,42.02,1090472477.0,64441.0,47445654.0,755128516.0,331000000.0,,,
2004-07-07,18497018583.0,13.0,5502060000.0,,40.96,1090472477.0,53886.0,36618415.0,588758717.0,331000000.0,,,
2004-07-08,21349976252.0,16.0,6489016000.0,,40.5,1289275477.0,100742.0,66006882.0,970953408.0,399400000.0,,,
2004-07-09,21153758257.0,16.0,6423230000.0,,40.13,1289275477.0,80226.0,58170447.0,880693702.0,399400000.0,,,
2004-07-12,19791742014.0,16.0,6007239138.0,,37.54,1289275477.0,68126.0,51082501.0,749400435.0,399389700.0,,,
2004-07-13,22686653977.0,19.0,6827254846.0,,37.09,1497575477.0,116134.0,80497310.0,1143787793.0,459389700.0,,,
2004-07-14,22898872237.0,19.0,6897674743.0,,37.43,1497575477.0,73740.0,54299137.0,756934686.0,459389700.0,,,
2004-07-15,24751778327.0,21.0,7408939979.0,,37.11,1651275477.0,87553.0,60742817.0,869006712.0,502989700.0,,,
2004-07-16,26065716005.0,21.0,7800694211.0,,39.08,1651275477.0,116063.0,95610109.0,1413903197.0,502989700.0,,,
2004-07-19,26245014899.0,21.0,7857474254.0,,39.35,1651275477.0,84436.0,64745682.0,942147995.0,502989700.0,,,
2004-07-20,25999382892.0,21.0,7783863799.0,,38.98,1651275477.0,60910.0,43820819.0,656764388.0,502989700.0,,,
2004-07-21,30868101431.0,24.0,9107388786.0,,36.97,1891576961.0,112026.0,77719186.0,1514673819.0,569989700.0,,,
2004-07-22,30195195085.0,24.0,8916663464.0,,36.16,1891576961.0,71120.0,49673413.0,838280880.0,569989700.0,,,
2004-07-23,31112252272.0,24.0,9184982271.0,,37.26,1891576961.0,51275.0,35273155.0,588144848.0,569989700.0,,,
2004-07-26,31593567019.0,25.0,9353854580.0,,36.74,1971576961.0,77773.0,54704701.0,848764976.0,595689700.0,,,
2004-07-27,31176359253.0,26.0,9244529614.0,,35.09,2061576961.0,93273.0,64605912.0,889803902.0,625689700.0,,,
2004-07-28,32251880781.0,26.0,9548050700.0,,36.3,2061576961.0,74077.0,50699253.0,740411467.0,625689700.0,,,
2004-07-29,32973738958.0,26.0,9763893035.0,,37.11,2061576961.0,84633.0,60503614.0,896523165.0,625689700.0,,,
2004-07-30,32926158806.0,26.0,9738453065.0,,37.06,2061576961.0,71188.0,47294451.0,714395620.0,625689700.0,,,
2004-08-02,33145306578.0,26.0,9800856271.0,,37.31,2061576961.0,61566.0,40470186.0,635856108.0,625689700.0,,,
2004-08-03,33676330585.0,26.0,9958957520.0,,37.9,2061576961.0,64653.0,44133533.0,698330439.0,625689700.0,,,
2004-08-04,35493169793.0,27.0,10438537284.0,,37.57,2173552930.0,94073.0,63328770.0,955669856.0,654689700.0,,,
