,range
600654,12.0
300028,11.9
300359,10.8
600571,10.6
300380,10.4
600074,9.4
300442,9.2
300216,9.1
601519,9.1
300378,8.9
002312,8.9
300399,8.8
002070,8.6
002657,8.3
300348,8.1
601558,8.0
300449,7.9
300085,7.9
600680,7.5
601106,7.5
600289,7.5
002568,7.4
300333,7.3
600112,7.3
300126,7.2
300350,7.2
600193,7.1
000410,7.1
300155,7.0
603789,6.9
600959,6.8
300397,6.8
002339,6.8
002184,6.7
000816,6.7
300295,6.5
300168,6.5
600767,6.4
300431,6.4
600446,6.3
300404,6.3
300248,6.3
300384,6.2
600606,6.2
300139,6.1
000948,6.1
300220,6.1
002290,6.1
600815,6.1
002577,6.0
300436,6.0
000520,5.9
002570,5.9
300011,5.9
002522,5.9
002667,5.9
600198,5.9
300379,5.9
000819,5.9
300356,5.9
600556,5.9
000555,5.9
300253,5.8
002642,5.8
000626,5.8
300364,5.8
300392,5.8
300005,5.8
300273,5.8
300254,5.7
300049,5.7
600401,5.7
300167,5.7
002296,5.7
600433,5.7
603166,5.7
000875,5.7
601016,5.7
603168,5.6
300369,5.6
300299,5.6
300004,5.6
600726,5.6
600503,5.6
601918,5.6
000917,5.5
000670,5.5
002276,5.5
300018,5.5
300151,5.5
300235,5.5
300291,5.5
002197,5.4
000810,5.4
002183,5.4
600588,5.4
002280,5.4
000558,5.4
002096,5.4
000156,5.4
300448,5.4
002260,5.4
600570,5.4
002751,5.4
002506,5.4
002698,5.4
600871,5.4
300016,5.4
000681,5.3
000616,5.3
300434,5.3
300354,5.3
002488,5.3
300424,5.3
600652,5.2
300460,5.2
300140,5.2
002612,5.2
300377,5.2
300171,5.2
300178,5.2
002432,5.2
002702,5.1
001896,5.1
600623,5.1
300413,5.1
002104,5.1
002207,5.1
002181,5.1
600576,5.1
600381,5.1
000592,5.1
001696,5.0
600247,5.0
300077,5.0
300081,5.0
002177,5.0
000861,5.0
300205,5.0
002625,5.0
300093,5.0
601608,5.0
600288,5.0
300104,5.0
300147,5.0
600653,5.0
002261,5.0
300252,5.0
300446,4.9
002318,4.9
603600,4.9
600458,4.9
600358,4.9
601218,4.9
300447,4.9
600397,4.9
600396,4.9
600880,4.9
600229,4.9
603859,4.9
600862,4.9
600536,4.9
002298,4.9
603118,4.9
300130,4.9
002215,4.9
600696,4.9
002037,4.9
300339,4.9
601226,4.8
300135,4.8
002363,4.8
603021,4.8
002471,4.8
002022,4.8
600180,4.8
300058,4.8
300010,4.8
300229,4.8
002154,4.8
300290,4.8
600275,4.8
600770,4.8
300440,4.8
002467,4.7
300022,4.7
002129,4.7
600485,4.7
600391,4.7
600610,4.7
002331,4.7
600839,4.7
600825,4.7
002329,4.7
300551,4.7
300030,4.7
600432,4.7
300441,4.7
603117,4.7
300444,4.7
002752,4.7
000017,4.7
000428,4.7
603315,4.7
300105,4.7
300079,4.7
600981,4.7
002364,4.7
300059,4.7
002052,4.6
300288,4.6
300516,4.6
600077,4.6
300312,4.6
300314,4.6
002481,4.6
002170,4.6
002175,4.6
300007,4.6
600088,4.6
600094,4.6
600601,4.6
600850,4.6
600637,4.6
600220,4.6
300002,4.6
603003,4.6
002292,4.6
000062,4.6
002349,4.6
600783,4.6
002107,4.6
603703,4.6
300170,4.6
000958,4.6
603528,4.6
002325,4.5
603999,4.5
300400,4.5
000547,4.5
600410,4.5
000503,4.5
000409,4.5
300368,4.5
300226,4.5
300020,4.5
002375,4.5
002063,4.5
300063,4.5
600701,4.5
300438,4.5
002161,4.5
300437,4.5
300075,4.5
601005,4.5
600744,4.5
002592,4.5
002689,4.4
300302,4.4
300517,4.4
601010,4.4
300522,4.4
002490,4.4
002504,4.4
002303,4.4
300491,4.4
600986,4.4
002713,4.4
300033,4.4
002338,4.4
002344,4.4
300231,4.4
000972,4.4
002055,4.4
300469,4.4
300556,4.4
000584,4.4
300351,4.4
300451,4.4
603169,4.4
000622,4.4
601718,4.4
603227,4.4
000638,4.4
