date,上市公司市价总值(元),上市公司数,上市公司流通市值(元),平均市盈率(倍),总发行股本(股),总成交笔数,总成交股数,总成交金额(元),总流通股本(股),新上市公司数
2008-12-31,1784484731651.0,467.0,1023531557446.0,14.88,285025369808.0,1269385.0,2194978144.0,12603384124.0,176353410878.0,0.0
2009-01-05,1838206393123.0,467.0,1058088233589.0,15.38,285025369808.0,1461638.0,2512312058.0,15593770366.0,176377998152.0,0.0
2009-01-06,1893119859159.0,467.0,1093373097702.0,15.89,285025369808.0,2181652.0,3769755113.0,24683567785.0,176405584059.0,0.0
2009-01-07,1883886720188.0,467.0,1090025566094.0,15.83,285025369890.0,2200770.0,3589385297.0,23452982718.0,176407099491.0,0.0
2009-01-08,1842217899725.0,467.0,1067377172344.0,15.5,285025369890.0,1907302.0,3043990687.0,23058788990.0,176407076540.0,0.0
2009-01-09,1874912929259.0,467.0,1089688746143.0,15.81,285025369890.0,1697237.0,2797110388.0,19855576679.0,176461755258.0,0.0
2009-01-12,1882370990947.0,467.0,1095660022457.0,15.9,285025369890.0,1971002.0,3279107763.0,22308959881.0,176486860362.0,0.0
2009-01-13,1835635104447.0,467.0,1068674843876.0,15.5,285025369890.0,1871444.0,3161911312.0,21315803678.0,176696740245.0,0.0
2009-01-14,1905946267170.0,467.0,1110305861579.0,16.11,285025369890.0,1997175.0,3447215101.0,23643705403.0,176696893622.0,0.0
2009-01-15,1912491490423.0,467.0,1115082499750.0,16.17,285025369890.0,2587268.0,4555863986.0,30521453024.0,176696987412.0,0.0
2009-01-16,1935618920992.0,467.0,1130213813197.0,16.37,285094369890.0,2824762.0,5052910888.0,34561082444.0,177131287327.0,0.0
2009-01-19,1941010032409.0,467.0,1134542859295.0,16.42,285094370278.0,2228650.0,3958176570.0,28025651317.0,177179708198.0,0.0
2009-01-20,1956419726326.0,467.0,1144650524857.0,16.56,285094370278.0,1832061.0,3168642292.0,21272302276.0,177585283082.0,0.0
2009-01-21,1955384089956.0,467.0,1147295124593.0,16.55,285094370483.0,2115355.0,3729420003.0,26110195659.0,177908360169.0,0.0
2009-01-22,1982884862981.0,467.0,1165289849519.0,16.79,285094370483.0,2184650.0,3862678733.0,26733340826.0,177960813669.0,0.0
2009-01-23,1974643652026.0,467.0,1163530942731.0,16.71,285094370688.0,2099078.0,3645976161.0,24876471055.0,178224767680.0,0.0
2009-02-02,2012973190038.0,467.0,1185906261953.0,17.01,285094370977.0,2179798.0,3817206683.0,24970851949.0,178324493274.0,0.0
2009-02-03,2068774239809.0,467.0,1218069791281.0,17.47,285094371059.0,3319258.0,5918979789.0,39684301125.0,178428454356.0,0.0
2009-02-04,2119170565238.0,467.0,1247891650590.0,17.9,285094371233.0,3605284.0,6372499398.0,42964895591.0,178428467564.0,0.0
2009-02-05,2096198253629.0,467.0,1233073829072.0,17.7,285094371233.0,4155096.0,7210634168.0,50482567236.0,178429321311.0,0.0
2009-02-06,2190336421633.0,467.0,1289781545871.0,18.55,285094371316.0,3891103.0,7169928075.0,50725627668.0,178576967373.0,0.0
2009-02-09,2267778060710.0,467.0,1336886594563.0,19.19,285094371468.0,4700796.0,8532708752.0,62164584102.0,179028837461.0,0.0
2009-02-10,2331399180612.0,467.0,1373384259575.0,19.72,285094371468.0,4556493.0,7888679387.0,58717881000.0,179028837461.0,0.0
2009-02-11,2341519315065.0,467.0,1376485086999.0,19.78,285094371468.0,5472015.0,9239005756.0,72530474319.0,179028840786.0,0.0
2009-02-12,2362149787406.0,467.0,1398796814428.0,19.97,285112502848.0,4671735.0,7788343948.0,60263199427.0,179703167959.0,0.0
2009-02-13,2451626235901.0,467.0,1452745830536.0,20.73,285165673395.0,4910522.0,8750139602.0,68563050067.0,179716329094.0,0.0
2009-02-16,2503282059867.0,467.0,1481252825539.0,21.17,285173748632.0,5296058.0,9041977476.0,71864781915.0,179824659522.0,0.0
2009-02-17,2412827533689.0,467.0,1423213328978.0,20.35,285173748909.0,5271957.0,8278879681.0,65825444033.0,179824671285.0,0.0
2009-02-18,2313626404053.0,467.0,1367401308178.0,19.46,285173749321.0,4312984.0,6839792613.0,54470103329.0,179899207241.0,0.0
2009-02-19,2361470991836.0,467.0,1398594300797.0,19.82,285173781820.0,3420979.0,5720156798.0,45397181524.0,180087639740.0,0.0
2009-02-20,2431816188019.0,467.0,1439566130206.0,20.47,285173781820.0,3503975.0,5762674226.0,46915606148.0,180149994062.0,0.0
2009-02-23,2511898606353.0,467.0,1491048492296.0,21.17,285174817250.0,4238787.0,7078117088.0,57141851446.0,180298918366.0,0.0
2009-02-24,2420960922213.0,467.0,1437533323675.0,20.4,285175260139.0,5399981.0,8568948353.0,69396170897.0,180309144488.0,0.0
2009-02-25,2403641225400.0,467.0,1431435949470.0,20.27,285179858669.0,4293760.0,6916012839.0,57285462631.0,180428410370.0,0.0
2009-02-26,2260995214500.0,467.0,1347130162663.0,19.04,285188233221.0,4091797.0,6420629105.0,50140170254.0,180827530850.0,0.0
2009-02-27,2159807468743.0,467.0,1286313028039.0,18.19,285193873211.0,3179891.0,5271627192.0,37995478206.0,180833170840.0,0.0
2009-03-02,2206199479179.0,467.0,1313928755105.0,18.61,285193873218.0,2380003.0,3988378256.0,29992642432.0,180805280657.0,0.0
2009-03-03,2205338324752.0,466.0,1315789969990.0,18.54,285032873218.0,2665109.0,4431717314.0,33663832602.0,180999621371.0,0.0
2009-03-04,2344266556458.0,466.0,1400770792529.0,19.74,285032873495.0,3639045.0,6070734332.0,48245286747.0,181187425663.0,0.0
2009-03-05,2356123629599.0,466.0,1408420024109.0,19.86,285032873495.0,4207059.0,6729891678.0,54849907232.0,181187423496.0,0.0
2009-03-06,2343290615577.0,466.0,1401840635157.0,19.81,285032873495.0,3088889.0,4875342014.0,38759601816.0,181187426728.0,0.0
2009-03-09,2247393985893.0,466.0,1353694714840.0,18.99,285079473495.0,3253879.0,4870587724.0,38022200253.0,182396667378.0,0.0
2009-03-10,2289646917226.0,466.0,1379074196023.0,19.89,285079473495.0,2191739.0,3344128481.0,25542248947.0,182396652378.0,0.0
2009-03-11,2276739380518.0,466.0,1370620367060.0,19.31,285079473536.0,2713680.0,4203326374.0,32820038690.0,182432668766.0,0.0
