date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2005-06-03,1,除权除息,3.0,0.0,0.0,0.0,,,,,,,,2005-06-03,除权除息,002016
2005-10-28,1,除权除息,0.0,0.0,5.28000020980835,0.0,,,,,,,,2005-10-28,除权除息,002016
2005-10-28,5,股本变化,,,,,,2500.0,3820.739990234375,5508.2998046875,6329.0400390625,,,2005-10-28,股本变化,002016
2006-06-12,1,除权除息,0.5,0.0,0.0,0.0,,,,,,,,2006-06-12,除权除息,002016
2006-10-30,5,股本变化,,,,,,3820.739990234375,4698.64990234375,6329.0400390625,6329.0400390625,,,2006-10-30,股本变化,002016
2007-10-29,5,股本变化,,,,,,4698.64990234375,5125.68017578125,6329.0400390625,6329.0400390625,,,2007-10-29,股本变化,002016
2008-02-27,5,股本变化,,,,,,5125.68017578125,4820.70849609375,6329.03662109375,19229.037109375,,,2008-02-27,股本变化,002016
2008-09-02,1,除权除息,0.0,0.0,10.0,0.0,,,,,,,,2008-09-02,除权除息,002016
2008-09-02,5,股本变化,,,,,,4820.70849609375,9639.6767578125,19229.037109375,38458.07421875,,,2008-09-02,股本变化,002016
2008-12-31,5,股本变化,,,,,,9639.6767578125,9645.2568359375,38458.07421875,38458.07421875,,,2008-12-31,股本变化,002016
2009-05-14,1,除权除息,0.0,0.0,2.0,0.0,,,,,,,,2009-05-14,除权除息,002016
2009-05-14,9,转配股上市,,,,,,9645.2568359375,11574.69921875,38458.07421875,46149.6875,,,2009-05-14,转配股上市,002016
2009-06-30,5,股本变化,,,,,,11574.69921875,11574.10546875,46149.6875,46149.6875,,,2009-06-30,股本变化,002016
2009-12-31,5,股本变化,,,,,,11574.10546875,11575.263671875,46149.6875,46149.6875,,,2009-12-31,股本变化,002016
2010-06-30,5,股本变化,,,,,,11575.263671875,11575.5869140625,46149.6875,46149.6875,,,2010-06-30,股本变化,002016
2010-12-31,5,股本变化,,,,,,11575.5869140625,11576.4814453125,46149.6875,46149.6875,,,2010-12-31,股本变化,002016
2011-06-10,5,股本变化,,,,,,11576.4814453125,46149.01171875,46149.6875,46149.6875,,,2011-06-10,股本变化,002016
2012-06-30,5,股本变化,,,,,,46149.01171875,46149.59765625,46149.6875,46149.6875,,,2012-06-30,股本变化,002016
2013-05-10,1,除权除息,1.5,0.0,4.0,0.0,,,,,,,,2013-05-10,除权除息,002016
2013-05-10,2,送配股上市,,,,,,46149.59765625,64609.4375,46149.6875,64609.5625,,,2013-05-10,送配股上市,002016
2013-06-30,5,股本变化,,,,,,64609.4375,64609.3515625,64609.5625,64609.5625,,,2013-06-30,股本变化,002016
2013-12-31,5,股本变化,,,,,,64609.3515625,64609.45703125,64609.5625,64609.5625,,,2013-12-31,股本变化,002016
2014-06-12,1,除权除息,0.800000011920929,0.0,0.0,0.0,,,,,,,,2014-06-12,除权除息,002016
2015-03-04,5,股本变化,,,,,,64609.45703125,64609.45703125,64609.5625,80909.5625,,,2015-03-04,股本变化,002016
2015-05-18,1,除权除息,1.0,0.0,0.0,0.0,,,,,,,,2015-05-18,除权除息,002016
2015-06-30,5,股本变化,,,,,,64609.45703125,64609.5625,80909.5625,80909.5625,,,2015-06-30,股本变化,002016
2017-06-01,1,除权除息,3.799999952316284,0.0,0.0,0.0,,,,,,,,2017-06-01,除权除息,002016
2018-05-03,1,除权除息,7.199999809265137,0.0,0.0,0.0,,,,,,,,2018-05-03,除权除息,002016
2018-07-04,5,股本变化,,,,,,64609.5625,68684.5625,80909.5625,80909.5625,,,2018-07-04,股本变化,002016
