date,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,liquidity_before,liquidity_after,shares_before,shares_after,fenshu,xingquanjia,date,category_meaning,code
2009-10-21,5,股本变化,,,,,,0.0,2496.0,12453.3330078125,12453.3330078125,,,2009-10-21,股本变化,002301
2010-01-21,3,非流通股上市,,,,,,2496.0,3120.0,12453.3330078125,12453.3330078125,,,2010-01-21,非流通股上市,002301
2010-07-19,1,除权除息,3.0,0.0,5.0,0.0,,,,,,,,2010-07-19,除权除息,002301
2010-07-19,9,转配股上市,,,,,,3120.0,4680.0,12453.3330078125,18680.0,,,2010-07-19,转配股上市,002301
2010-10-21,5,股本变化,,,,,,4680.0,7529.7998046875,18680.0,18680.0,,,2010-10-21,股本变化,002301
2011-09-28,5,股本变化,,,,,,7529.7998046875,7529.7998046875,18680.0,19169.0,,,2011-09-28,股本变化,002301
2011-12-31,5,股本变化,,,,,,7529.7998046875,7529.89990234375,19169.0,19169.0,,,2011-12-31,股本变化,002301
2012-07-05,1,除权除息,1.0,0.0,10.0,0.0,,,,,,,,2012-07-05,除权除息,002301
2012-07-05,9,转配股上市,,,,,,7529.89990234375,15059.7998046875,19169.0,38338.0,,,2012-07-05,转配股上市,002301
2012-09-28,5,股本变化,,,,,,15059.7998046875,15059.7998046875,38338.0,38454.0,,,2012-09-28,股本变化,002301
2012-10-22,5,股本变化,,,,,,15059.7998046875,35559.80078125,38454.0,38454.0,,,2012-10-22,股本变化,002301
2012-11-27,5,股本变化,,,,,,35559.80078125,35559.80078125,38454.0,38385.0,,,2012-11-27,股本变化,002301
2013-08-27,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2013-08-27,除权除息,002301
2014-01-28,5,股本变化,,,,,,35559.80078125,34120.0,38385.0,37932.93359375,,,2014-01-28,股本变化,002301
2014-07-18,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2014-07-18,除权除息,002301
2014-12-29,5,股本变化,,,,,,34120.0,34120.0,37932.93359375,37614.3984375,,,2014-12-29,股本变化,002301
2015-08-19,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2015-08-19,除权除息,002301
2015-12-17,5,股本变化,,,,,,34120.0,34120.0,37614.3984375,37360.0,,,2015-12-17,股本变化,002301
2015-12-31,5,股本变化,,,,,,34120.0,33468.78125,37360.0,37360.0,,,2015-12-31,股本变化,002301
2016-06-30,5,股本变化,,,,,,33468.78125,35353.0234375,37360.0,37360.0,,,2016-06-30,股本变化,002301
2016-12-31,5,股本变化,,,,,,35353.0234375,35348.6953125,37360.0,37360.0,,,2016-12-31,股本变化,002301
2017-02-28,5,股本变化,,,,,,35348.6953125,37268.6953125,37360.0,42786.73828125,,,2017-02-28,股本变化,002301
2017-06-09,1,除权除息,0.20000000298023224,0.0,0.0,0.0,,,,,,,,2017-06-09,除权除息,002301
2017-06-30,5,股本变化,,,,,,37268.6953125,37267.171875,42786.73828125,42786.73828125,,,2017-06-30,股本变化,002301
2017-12-31,5,股本变化,,,,,,37267.171875,37270.22265625,42786.73828125,42786.73828125,,,2017-12-31,股本变化,002301
2018-02-28,5,股本变化,,,,,,37270.22265625,42696.9609375,42786.73828125,42786.73828125,,,2018-02-28,股本变化,002301
2018-05-28,1,除权除息,0.5,0.0,5.0,0.0,,,,,,,,2018-05-28,除权除息,002301
2018-05-28,9,转配股上市,,,,,,42696.9609375,64045.44140625,42786.73828125,64180.109375,,,2018-05-28,转配股上市,002301
2018-06-30,5,股本变化,,,,,,64045.44140625,64045.44140625,64180.109375,64180.109375,,,2018-06-30,股本变化,002301
